2026-04-20|09:15:00|Salary Deposit|Company|2500.00
2026-04-21|11:30:00|Amazon Purchase|Amazon|-89.50
2026-04-22|02:45:00|Netflix Subscription|Netflix|-15.99
2026-04-23|04:10:00|Freelance Payment|Client|600.00
2026-04-24|06:20:00|Rent Payment|Landlord|-800.00
2026-03-10|10:00:00|Grocery Shopping|Walmart|-120.75
2026-03-15|01:25:00|Bonus Payment|Office|450.00
2026-03-18|07:40:00|Electric Bill|Duke Energy|-95.30
2026-03-22|03:15:00|Refund Received|Amazon|45.00
2026-03-28|08:50:00|Gas Refill|Shell|-60.00
